연번,레벨,아이디,고을_한자,고을_한자_세부,고을_한글,고을_한글_세부,口 한문,口 아라비아 숫자,口 아라비아,
283,5,wda_40007002_001,全羅道 / 羅州牧 / 海珍郡,,전라도 / 나주목 / 해진군,,七百單七。,707,707,0
284,5,wda_40007002_002,全羅道 / 羅州牧 / 靈巖郡,,전라도 / 나주목 / 영암군,,一千二百二十九。,1229,1229,0
285,5,wda_40007002_003,全羅道 / 羅州牧 / 靈光郡,,전라도 / 나주목 / 영광군,,二千一百三十七。,2137,2137,0
286,5,wda_40007002_004,全羅道 / 羅州牧 / 康津縣,,전라도 / 나주목 / 강진현,,一千六百四十四。,1644,1644,0
287,5,wda_40007002_005,全羅道 / 羅州牧 / 茂長縣,,전라도 / 나주목 / 무장현,,二千三十三。,2033,2033,0
288,5,wda_40007002_006,全羅道 / 羅州牧 / 咸平縣,,전라도 / 나주목 / 함평현,,一千六百單八。,1608,1608,0
289,5,wda_40007002_007,全羅道 / 羅州牧 / 南平縣,,전라도 / 나주목 / 남평현,,一千三百三十三。,1333,1333,0
290,5,wda_40007002_008,全羅道 / 羅州牧 / 務安縣,,전라도 / 나주목 / 무안현,,一千三十。,1030,1030,0
291,5,wda_40007002_009,全羅道 / 羅州牧 / 高敞縣,,전라도 / 나주목 / 고창현,,九百七十四。,974,974,0
292,5,wda_40007002_010,全羅道 / 羅州牧 / 興德縣,,전라도 / 나주목 / 흥덕현,,一千五十一。,1051,1051,0
293,5,wda_40007002_011,全羅道 / 羅州牧 / 長城縣,,전라도 / 나주목 / 장성현,,八百四十。,840,840,0
294,5,wda_40007003_001,全羅道 / 南原都護府 / 淳昌郡,,전라도 / 남원도호부 / 순창군,,一千九十二。,1092,1092,0
295,5,wda_40007003_002,全羅道 / 南原都護府 / 龍潭縣,,전라도 / 남원도호부 / 용담현,,二百七十四。,274,274,0
296,5,wda_40007003_003,全羅道 / 南原都護府 / 求禮縣,,전라도 / 남원도호부 / 구례현,,六百七十七。,677,677,0
297,5,wda_40007003_004,全羅道 / 南原都護府 / 任實縣,,전라도 / 남원도호부 / 임실현,,八百三。,803,803,0
298,5,wda_40007003_005,全羅道 / 南原都護府 / 雲峯縣,,전라도 / 남원도호부 / 운봉현,,五百五十一。,551,551,0
299,5,wda_40007003_006,全羅道 / 南原都護府 / 長水縣,,전라도 / 남원도호부 / 장수현,,八百十二。,802,812,-10
300,5,wda_40007003_007,全羅道 / 南原都護府 / 茂朱縣,,전라도 / 남원도호부 / 무주현,,七百十五。,705,715,-10
301,5,wda_40007003_008,全羅道 / 南原都護府 / 鎭安縣,,전라도 / 남원도호부 / 진안현,,七百二十二。,722,722,0
302,5,wda_40007003_009,全羅道 / 南原都護府 / 谷城縣,,전라도 / 남원도호부 / 곡성현,,六百五十七。,657,657,0
303,5,wda_40007003_010,全羅道 / 南原都護府 / 光陽縣,,전라도 / 남원도호부 / 광양현,,一千二百二十。,1220,1220,0
304,5,wda_40007004_001,全羅道 / 長興都護府 / 潭陽都護府,,전라도 / 장흥도호부 / 담양도호부,,一千七百六十。,1760,1760,0
305,5,wda_40007004_002,全羅道 / 長興都護府 / 順天都護府,,전라도 / 장흥도호부 / 순천도호부,,二千六百十八。,2608,2618,-10
306,5,wda_40007004_003,全羅道 / 長興都護府 / 茂珍郡,,전라도 / 장흥도호부 / 무진군,,四千一百八十二。,4182,4182,0
307,5,wda_40007004_004,全羅道 / 長興都護府 / 寶城郡,,전라도 / 장흥도호부 / 보성군,,一千二百四十五。,1245,1245,0
308,5,wda_40007004_005,全羅道 / 長興都護府 / 樂安郡,,전라도 / 장흥도호부 / 낙안군,,一千四百三十九。,1439,1439,0
309,5,wda_40007004_006,全羅道 / 長興都護府 / 高興縣,,전라도 / 장흥도호부 / 고흥현,,六百八十六。,686,686,0
310,5,wda_40007004_007,全羅道 / 長興都護府 / 綾城縣,,전라도 / 장흥도호부 / 능성현,,七百六十三。,763,763,0
311,5,wda_40007004_008,全羅道 / 長興都護府 / 昌平縣,,전라도 / 장흥도호부 / 창평현,,九百五十二。,952,952,0
312,5,wda_40007004_009,全羅道 / 長興都護府 / 和順縣,,전라도 / 장흥도호부 / 화순현,,六百十五。,605,615,-10
313,5,wda_40007004_010,全羅道 / 長興都護府 / 同福縣,,전라도 / 장흥도호부 / 동복현,,二百八十九。,289,289,0
314,5,wda_40007004_011,全羅道 / 長興都護府 / 玉果縣,,전라도 / 장흥도호부 / 옥과현,,八百三十七。,837,837,0
315,5,wda_40007004_012,全羅道 / 長興都護府 / 珍原縣,,전라도 / 장흥도호부 / 진원현,,七百四十七。,747,747,0
316,5,wda_40007005_001,全羅道 / 濟州牧 / 旌義縣,,전라도 / 제주목 / 정의현,,二千七十三。,2073,2073,0
317,5,wda_40007005_002,全羅道 / 濟州牧 / 大靜縣,,전라도 / 제주목 / 대정현,,八千五百。,8501,8500,1
318,5,wda_40008001_001,黃海道 / 黃州牧 / 瑞興都護府,,황해도 / 황주목 / 서흥도호부,,四千三百三十七。,4337,4337,0
319,5,wda_40008001_002,黃海道 / 黃州牧 / 鳳山郡,,황해도 / 황주목 / 봉산군,,六千二百。,6200,6200,0
320,5,wda_40008001_003,黃海道 / 黃州牧 / 安岳郡,,황해도 / 황주목 / 안악군,,三千七百三。,3703,3703,0
321,5,wda_40008001_004,黃海道 / 黃州牧 / 遂安郡,,황해도 / 황주목 / 수안군,,三千七百八十六。,3786,3786,0
322,5,wda_40008001_005,黃海道 / 黃州牧 / 谷山郡,,황해도 / 황주목 / 곡산군,,二千八百二十八。,2828,2828,0
