연번,레벨,아이디,고을_한자,고을_한자_세부,고을_한글,고을_한글_세부,戶 한문,戶 아라비아 숫자
232,5,wda_40006003_003,慶尙道 / 尙州牧 / 陜川郡,本郡,경상도 / 상주목 / 합천군,본군,"四百六十四,",464
233,5,wda_40006003_003,慶尙道 / 尙州牧 / 陜川郡,冶爐,경상도 / 상주목 / 합천군,야로,"二百三十七,",237
234,5,wda_40006003_004,慶尙道 / 尙州牧 / 草溪郡,,경상도 / 상주목 / 초계군,,"四百六十三,",463
235,5,wda_40006003_005,慶尙道 / 尙州牧 / 金山郡,,경상도 / 상주목 / 금산군,,"五百三十三,",533
236,5,wda_40006003_006,慶尙道 / 尙州牧 / 高靈縣,,경상도 / 상주목 / 고령현,,"二百八十七,",287
237,5,wda_40006003_007,慶尙道 / 尙州牧 / 開寧縣,,경상도 / 상주목 / 개녕현,,"五百三十單一,",531
238,5,wda_40006003_008,慶尙道 / 尙州牧 / 咸昌縣,,경상도 / 상주목 / 함창현,,"三百六十八,",368
239,5,wda_40006003_009,慶尙道 / 尙州牧 / 龍宮縣,,경상도 / 상주목 / 용궁현,,"三百九十六,",396
240,5,wda_40006003_010,慶尙道 / 尙州牧 / 聞慶縣,本縣,경상도 / 상주목 / 문경현,본현,"二百六十單一,",261
241,5,wda_40006003_010,慶尙道 / 尙州牧 / 聞慶縣,加恩,경상도 / 상주목 / 문경현,가은,"一百五,",105
242,5,wda_40006003_011,慶尙道 / 尙州牧 / 軍威縣,本縣,경상도 / 상주목 / 군위현,본현,"二百八十四,",284
243,5,wda_40006003_011,慶尙道 / 尙州牧 / 軍威縣,孝靈,경상도 / 상주목 / 군위현,효령,"一百六,",106
244,5,wda_40006003_012,慶尙道 / 尙州牧 / 知禮縣,,경상도 / 상주목 / 지례현,,"二百三十,",230
245,5,wda_40006004_001,慶尙道 / 晉州牧 / 金海都護府,本府,경상도 / 진주목 / 김해도호부,본부,"一千二百九十,",1290
246,5,wda_40006004_001,慶尙道 / 晉州牧 / 金海都護府,熊神,경상도 / 진주목 / 김해도호부,웅신,"六十三,",63
